PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10a_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10a_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10a_sorted_fstrand_peak_119	chr1	43824665	43824716	+	39	NA	intron (NM_001255, intron 1 of 10)	promoter-TSS (NM_001255)	64	NM_001255	991	Hs.524947	NM_001255	ENSG00000117399	CDC20	CDC20A|bA276H19.3|p55CDC	cell division cycle 20	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_280	chr1	150669577	150669633	+	39	NA	5' UTR (NM_018178, exon 1 of 5)	promoter-TSS (NM_018178)	67	NM_018178	55204	Hs.203699	NM_018178	ENSG00000143457	GOLPH3L	GPP34R	golgi phosphoprotein 3-like	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_350	chr1	183101609	183101661	+	39	NA	exon (NM_002293, exon 21 of 28)	exon (NM_002293, exon 21 of 28)	-53539	NM_018891	3918	Hs.591484	NM_005562	ENSG00000058085	LAMC2	B2T|BM600|CSF|EBR2|EBR2A|LAMB2T|LAMNB2	laminin, gamma 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_454	chr1	226175772	226175821	+	39	NA	exon (NM_152608, exon 6 of 7)	exon (NM_152608, exon 6 of 7)	11270	NM_152608	163859	Hs.520192	NM_152608	ENSG00000143751	SDE2	C1orf55|dJ671D7.1	SDE2 telomere maintenance homolog (S. pombe)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2852	chr20	55927479	55927528	+	39	NA	intron (NM_001015885, intron 1 of 11)	L2b|LINE|L2	885	NM_001015885	8480	Hs.371698	NM_003610		RAE1	MIG14|MRNP41|Mnrp41|dJ481F12.3|dJ800J21.1	ribonucleic acid export 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2130	chr19	14258769	14258818	+	38	NA	3' UTR (NM_014921, exon 23 of 23)	3' UTR (NM_014921, exon 23 of 23)	10829	NR_045214	100507373	Hs.720437	NR_045214	ENSG00000267169	LOC100507373	-	uncharacterized LOC100507373	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_434	chr1	212965065	212965114	+	38	NA	exon (NM_015471, exon 1 of 6)	promoter-TSS (NM_001146170)	50	NM_001297736	25936	Hs.497692	NM_015471		NSL1	C1orf48|DC8|MIS14	NSL1, MIS12 kinetochore complex component	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3040	chr3	16306736	16306785	+	38	NA	5' UTR (NM_138381, exon 1 of 9)	promoter-TSS (NM_206831)	93	NM_138381	92106	Hs.655449	NM_138381	ENSG00000154814	OXNAD1	-	oxidoreductase NAD-binding domain containing 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2506	chr2	224702228	224702277	+	38	NA	5' UTR (NM_001039569, exon 1 of 5)	promoter-TSS (NM_001039569)	67	NM_001039569	130340	Hs.632555	NM_178814		AP1S3	PSORS15	adaptor-related protein complex 1 sigma 3 subunit	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4564b	chrM	9734	9929	+	38	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_fstrand_peak_1556	chr15	86228050	86228099	+	38	NA	exon (NM_007200, exon 16 of 37)	exon (NM_007200, exon 16 of 37)	64893	NM_001270546	11214	Hs.459211	NM_006738	ENSG00000170776	AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47	A kinase (PRKA) anchor protein 13	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_119	chr1	36022953	36023002	+	38	NA	5' UTR (NM_024874, exon 1 of 21)	promoter-TSS (NM_014284)	60	NM_024874	79932	Hs.456507	NM_024874	ENSG00000142687	KIAA0319L	-	KIAA0319-like	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1679	chr16	31485210	31485261	+	38	NA	exon (NM_015927, exon 4 of 11)	exon (NM_015927, exon 4 of 11)	709	NM_015927	7041	Hs.513530	NM_015927	ENSG00000140682	TGFB1I1	ARA55|HIC-5|HIC5|TSC-5	transforming growth factor beta 1 induced transcript 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2161	chr19	22877611	22877697	+	38	NA	Intergenic--14939	SSU-rRNA_Hsa|rRNA|rRNA	60528	NM_020855	57615	Hs.232108	NM_020855	ENSG00000229676	ZNF492	ZNF115	zinc finger protein 492	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1179	chr12	110691445	110691494	+	38	NA	Intergenic--11003	L1ME4a|LINE|L1	-27563	NM_001681	488	Hs.506759	NM_001681	ENSG00000174437	ATP2A2	ATP2B|DAR|DD|SERCA2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4029	chr7	66328613	66328662	+	38	NA	Intergenic--6613	Intergenic	-18824	NR_003934	729156	Hs.709878	NR_003934	ENSG00000230583	GTF2IRD1P1	-	GTF2I repeat domain containing 1 pseudogene 1	pseudo
4E1-PMA-01_S10a_sorted_fstrand_peak_4214	chr8	27380529	27380578	+	38	NA	intron (NM_001256482, intron 11 of 18)	intron (NM_001256482, intron 11 of 18)	31868	NM_001256484	2053	Hs.212088	NM_001979	ENSG00000120915	EPHX2	CEH|SEH	epoxide hydrolase 2, cytoplasmic	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3036	chr4	66509072	66509121	+	38	NA	exon (NM_004439, exon 2 of 18)	exon (NM_004439, exon 2 of 18)	-26583	NR_034138	100144602	Hs.201854	NR_034138	ENSG00000250846	EPHA5-AS1	-	EPHA5 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_455	chr1	246887711	246887760	+	38	NA	exon (NM_016002, exon 1 of 12)	exon (NM_016002, exon 1 of 12)	357	NM_016002	51097	Hs.498397	NM_016002	ENSG00000143653	SCCPDH	CGI-49|NET11	saccharopine dehydrogenase (putative)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4376	chrX	10588422	10588471	+	38	NA	5' UTR (NM_033289, exon 1 of 10)	5' UTR (NM_033289, exon 1 of 10)	228	NM_033289	4281	Hs.27695	NM_000381	ENSG00000101871	MID1	BBBG1|FXY|GBBB1|MIDIN|OGS1|OS|OSX|RNF59|TRIM18|XPRF|ZNFXY	midline 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2687	chr2	220315932	220315981	+	38	NA	exon (NM_005876, exon 5 of 41)	exon (NM_005876, exon 5 of 41)	-9578	NM_001173476	10290	Hs.21639	NM_005876	ENSG00000072195	SPEG	APEG-1|APEG1|BPEG|CNM5|SPEGalpha|SPEGbeta	SPEG complex locus	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3887	chr6	116422041	116422096	+	38	NA	5' UTR (NM_152729, exon 1 of 12)	promoter-TSS (NM_152729)	69	NM_152729	221294	Hs.520341	NM_152729		NT5DC1	C6orf200|LP2642|NT5C2L1	5'-nucleotidase domain containing 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3637	chr5	149743732	149743781	+	38	NA	exon (NM_001008657, exon 3 of 18)	exon (NM_001008657, exon 3 of 18)	6554	NM_000356	6949	Hs.519672	NM_000356	ENSG00000070814	TCOF1	MFD1|TCS|TCS1|treacle	Treacher Collins-Franceschetti syndrome 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_875	chr11	73950204	73950253	+	38	NA	exon (NM_001271593, exon 9 of 14)	exon (NM_001271593, exon 9 of 14)	68120	NM_001271593	51400	Hs.503251	NM_016147	ENSG00000214517	PPME1	PME-1	protein phosphatase methylesterase 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3606	chr6	99395773	99395822	+	38	NA	5' UTR (NM_012160, exon 1 of 9)	promoter-TSS (NM_012160)	85	NR_103837	26235	Hs.536850	NM_012160	ENSG00000112234	FBXL4	FBL4|FBL5|MTDPS13	F-box and leucine-rich repeat protein 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3004	chr4	16215438	16215487	+	38	NA	exon (NM_153365, exon 2 of 14)	exon (NM_153365, exon 2 of 14)	12699	NM_153365	202018	Hs.479223	NM_153365	ENSG00000169762	TAPT1	CMVFR	transmembrane anterior posterior transformation 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3867	chr7	102985145	102985194	+	38	NA	5' UTR (NM_001129887, exon 1 of 15)	5' UTR (NM_001129887, exon 1 of 15)	151	NM_014377	27000	Hs.558476	NM_014377	ENSG00000105821	DNAJC2	MPHOSPH11|MPP11|ZRF1|ZUO1	DnaJ (Hsp40) homolog, subfamily C, member 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1140	chr12	88429313	88429362	+	38	NA	5' UTR (NM_001009894, exon 1 of 7)	promoter-TSS (NM_001009894)	69	NM_001009894	91298	Hs.591009	NM_001009894	ENSG00000133641	C12orf29	-	chromosome 12 open reading frame 29	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4542	chr9	139734261	139734332	+	38	NA	exon (NM_001173988, exon 13 of 15)	exon (NM_001173988, exon 13 of 15)	-4571	NM_001080482	389813	Hs.495485	NM_001080482		C9orf172	-	chromosome 9 open reading frame 172	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2701	chr22	36635523	36635573	+	38	NA	5' UTR (NM_145637, exon 2 of 6)	5' UTR (NM_145637, exon 2 of 6)	141	NM_030882	23780	Hs.474740	NM_030882	ENSG00000128335	APOL2	APOL-II|APOL3	apolipoprotein L, 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1193	chr12	113806968	113807017	+	38	NA	exon (NM_001159727, exon 2 of 11)	exon (NM_001159727, exon 2 of 11)	10621	NM_001159727	196463	Hs.115896	NM_173542	ENSG00000151176	PLBD2	P76	phospholipase B domain containing 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1463	chr15	56145634	56145683	+	38	NA	intron (NM_001284338, intron 8 of 24)	U2|snRNA|snRNA	63671	NM_001284339	4734	Hs.1565	NM_006154	ENSG00000069869	NEDD4	NEDD4-1|RPF1	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3890	chr7	110912271	110912320	+	38	NA	intron (NM_001244606, intron 4 of 6)	L2b|LINE|L2	181233	NM_018334	54674	Hs.3781	NM_018334	ENSG00000173114	LRRN3	FIGLER5|NLRR-3|NLRR3	leucine rich repeat neuronal 3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_471	chr10	13342199	13342248	+	38	NA	Intergenic	promoter-TSS (NM_001037537)	-93	NM_006214	5264	Hs.498732	NM_006214	ENSG00000107537	PHYH	LN1|LNAP1|PAHX|PHYH1|RD	phytanoyl-CoA 2-hydroxylase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1336	chr14	60854198	60854247	+	38	NA	Intergenic--11803	L1PA6|LINE|L1	98542	NM_174978	317761	Hs.335754	NM_174978	ENSG00000179008	C14orf39	Six6os1	chromosome 14 open reading frame 39	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4534	chr9	137736323	137736372	+	38	NA	3' UTR (NM_001278074, exon 66 of 66)	3' UTR (NM_001278074, exon 66 of 66)	4868	NR_039691	100616333		NR_039691	ENSG00000264744	MIR3689C	-	microRNA 3689c	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1787	chr17	19644422	19644479	+	38	NA	exon (NM_001135168, exon 5 of 10)	exon (NM_001135168, exon 5 of 10)	4322	NM_001135168	218	Hs.531682	NM_000691	ENSG00000108602	ALDH3A1	ALDH3|ALDHIII	aldehyde dehydrogenase 3 family, member A1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_361	chr1	168194895	168194944	+	38	NA	Intergenic	promoter-TSS (NM_199344)	-336	NM_199344	375035	Hs.645435	NM_199344		SFT2D2	UNQ512|dJ747L4.C1.2	SFT2 domain containing 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_63	chr1	19453074	19453123	+	38	NA	exon (NM_020765, exon 64 of 106)	exon (NM_020765, exon 64 of 106)	83648	NM_020765	23352	Hs.148078	NM_020765	ENSG00000127481	UBR4	RBAF600|ZUBR1|p600	ubiquitin protein ligase E3 component n-recognin 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3272	chr5	83402503	83402552	+	38	NA	exon (NM_005711, exon 6 of 11)	exon (NM_005711, exon 6 of 11)	278158	NM_005711	10085	Hs.482730	NM_005711	ENSG00000164176	EDIL3	DEL1	EGF-like repeats and discoidin I-like domains 3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1283	chr13	100214994	100215043	+	38	NA	3' UTR (NM_004800, exon 17 of 17)	3' UTR (NM_004800, exon 17 of 17)	-14348	NR_126390	104355149	Hs.639387	NR_126390		LINC01039	-	long intergenic non-protein coding RNA 1039	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_844	chr11	65984016	65984094	+	38	NA	exon (NM_018026, exon 6 of 24)	exon (NM_018026, exon 6 of 24)	-40710	NM_001134775	64837	Hs.280792	NM_022822	ENSG00000174996	KLC2	-	kinesin light chain 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1474	chr15	41058055	41058104	+	38	NA	exon (NM_005258, exon 2 of 3)	exon (NM_005258, exon 2 of 3)	1794	NM_005258	2644	Hs.631717	NM_005258	ENSG00000137880	GCHFR	GFRP|HsT16933|P35	GTP cyclohydrolase I feedback regulator	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1578	chr15	100106175	100106224	+	38	NA	5' UTR (NM_001171894, exon 1 of 12)	promoter-TSS (NM_001171894)	66	NM_001130927	4205	Hs.268675	NM_005587	ENSG00000068305	MEF2A	ADCAD1|RSRFC4|RSRFC9|mef2	myocyte enhancer factor 2A	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3984	chr7	16693411	16693460	+	38	NA	intron (NR_027624, intron 1 of 10)	intron (NR_027624, intron 1 of 10)	7676	NR_027624	28969	Hs.487635	NM_014038	ENSG00000136261	BZW2	HSPC028|MST017|MSTP017	basic leucine zipper and W2 domains 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1780	chr17	18967256	18967305	+	38	NA	Intergenic--13555	U3|snRNA|snRNA	-16944	NM_006613	10750	Hs.567416	NM_006613		GRAP	-	GRB2-related adaptor protein	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_54	chr1	16893678	16893727	+	38	NA	exon (NM_017940, exon 25 of 29)	exon (NM_017940, exon 25 of 29)	18293	NR_037446	100500876		NR_037446	ENSG00000263811	MIR3675	-	microRNA 3675	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4370	chr9	19409014	19409063	+	38	NA	5' UTR (NM_001010887, exon 1 of 6)	5' UTR (NM_001010887, exon 1 of 6)	113	NM_001010887	340485	Hs.41379	NM_001010887		ACER2	ALKCDase2|ASAH3L	alkaline ceramidase 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1256	chr13	111136029	111136078	+	38	NA	intron (NM_001846, intron 32 of 47)	U2|snRNA|snRNA	24473	NR_046583	100874203	Hs.508716	NR_046583	ENSG00000232814	COL4A2-AS1	-	COL4A2 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2368	chr2	96590807	96590856	+	38	NA	intron (NM_001310154, intron 30 of 88)	intron (NM_001310154, intron 30 of 88)	67237	NM_001310154	400986	Hs.646318	NM_001010914		ANKRD36C	-	ankyrin repeat domain 36C	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1648	chr16	22461307	22461356	+	38	NA	intron (NR_027154, intron 1 of 28)	MER77B|LTR|ERVL	-12295	NR_027460	100131998	Hs.709576	NR_027460		RRN3P3	-	RRN3 homolog, RNA polymerase I transcription factor pseudogene 3	pseudo
4E1-PMA-01_S10a_sorted_fstrand_peak_987	chr12	12966286	12966344	+	38	NA	exon (NM_201224, exon 1 of 11)	promoter-TSS (NM_201224)	35	NM_016355	51202	Hs.719938	NM_016355	ENSG00000213782	DDX47	E4-DBP|HQ0256|MSTP162|RRP3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3280	chr4	37828310	37828359	+	38	NA	5' UTR (NM_018290, exon 1 of 14)	promoter-TSS (NM_018290)	52	NM_018290	55276	Hs.23363	NM_018290	ENSG00000169299	PGM2	MSTP006	phosphoglucomutase 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2557	chr20	5577479	5577528	+	38	NA	intron (NM_019593, intron 3 of 19)	intron (NM_019593, intron 3 of 19)	14169	NM_019593	56261	Hs.636359	NM_019593	ENSG00000125772	GPCPD1	EDI3|GDE5|GDPD6|PREI4	glycerophosphocholine phosphodiesterase 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1700	chr16	57037769	57037818	+	38	NA	Intergenic--13106	MIR|SINE|MIR	-13193	NM_032206	84166	Hs.528836	NM_032206	ENSG00000140853	NLRC5	CLR16.1|NOD27|NOD4	NLR family, CARD domain containing 5	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_548	chr10	51613180	51613229	+	38	NA	intron (NM_006327, intron 3 of 6)	intron (NM_006327, intron 3 of 6)	10182	NR_073029	100287932	Hs.524308	NM_006327	ENSG00000265354	TIMM23	TIM23	translocase of inner mitochondrial membrane 23 homolog (yeast)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_952	chr12	2986390	2986439	+	38	NA	5' UTR (NM_001252499, exon 1 of 3)	promoter-TSS (NM_001243089)	49	NR_027365	83695	Hs.198853	NM_001252499	ENSG00000171792	RHNO1	C12orf32|HKMT1188|RHINO	RAD9-HUS1-RAD1 interacting nuclear orphan 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3701	chr6	4032817	4032866	+	38	NA	exon (NM_003913, exon 2 of 15)	exon (NM_003913, exon 2 of 15)	11272	NM_003913	8899	Hs.159014	NM_003913	ENSG00000112739	PRPF4B	PR4H|PRP4|PRP4H|PRP4K|dJ1013A10.1	pre-mRNA processing factor 4B	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_420	chr1	224370908	224370992	+	38	NA	5' UTR (NM_003676, exon 1 of 3)	promoter-TSS (NM_003676)	40	NM_003676	8560	Hs.299878	NM_003676	ENSG00000143753	DEGS1	DEGS|DEGS-1|DES1|Des-1|FADS7|MIG15|MLD	delta(4)-desaturase, sphingolipid 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2985	chr4	2414662	2414711	+	38	NA	intron (NM_020972, intron 1 of 12)	intron (NM_020972, intron 1 of 12)	5684	NM_020972	57732	Hs.292056	NM_020972	ENSG00000159733	ZFYVE28	LST2|LYST2	zinc finger, FYVE domain containing 28	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2269	chr19	35645634	35645725	+	38	NA	5' UTR (NM_014164, exon 1 of 9)	promoter-TSS (NM_014164)	7	NM_144779	53827	Hs.333418	NM_014164	ENSG00000089327	FXYD5	DYSAD|HSPC113|IWU1|KCT1|OIT2|PRO6241|RIC	FXYD domain containing ion transport regulator 5	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1184	chr12	112160302	112160351	+	38	NA	intron (NM_025247, intron 8 of 20)	SVA_D|Other|Other	36469	NM_001136538	80724	Hs.331141	NM_025247	ENSG00000111271	ACAD10	-	acyl-CoA dehydrogenase family, member 10	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3678	chr6	150205211	150205260	+	38	NA	3' UTR (NM_001243328, exon 5 of 5)	3' UTR (NM_001243328, exon 5 of 5)	-6004	NR_045127	100652739	Hs.642734	NR_045126	ENSG00000223701	RAET1E-AS1	RAET1G-AS1	RAET1E antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_3078	chr3	47324151	47324200	+	38	NA	5' UTR (NM_001134878, exon 1 of 22)	promoter-TSS (NM_025010)	-155	NM_025010	23276	Hs.517946	NM_025010	ENSG00000114648	KLHL18	-	kelch-like family member 18	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2544	chr20	627492	627541	+	38	NA	3' UTR (NM_080725, exon 2 of 2)	3' UTR (NM_080725, exon 2 of 2)	6498	NM_080725	140809	Hs.516830	NM_080725	ENSG00000271303	SRXN1	C20orf139|Npn3|SRX|SRX1	sulfiredoxin 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4452	chr9	120466470	120466519	+	38	NA	5' UTR (NM_138554, exon 1 of 3)	promoter-TSS (NM_138554)	41	NM_003266	7099	Hs.174312	NM_003266	ENSG00000136869	TLR4	ARMD10|CD284|TLR-4|TOLL	toll-like receptor 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_957	chr12	6788619	6788668	+	38	NA	exon (NM_133476, exon 3 of 10)	exon (NM_133476, exon 3 of 10)	9898	NM_133476	171017	Hs.103315	NM_133476	ENSG00000126746	ZNF384	CAGH1|CAGH1A|CIZ|ERDA2|NMP4|NP|TNRC1	zinc finger protein 384	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_227	chr1	108113429	108113478	+	38	NA	Intergenic	TTS (NM_006113)	117673	NM_001079874	10451	Hs.267659	NM_006113	ENSG00000134215	VAV3	-	vav 3 guanine nucleotide exchange factor	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3483	chr6	28779835	28779884	+	38	NA	Intergenic--5560	tRNA-Ala-GCY_|tRNA|tRNA	51595	NR_033379	401242	Hs.448285	NR_033379	ENSG00000225595	LINC01623	-	long intergenic non-protein coding RNA 1623	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_134	chr1	41327965	41328014	+	38	NA	5' UTR (NM_133467, exon 1 of 1)	promoter-TSS (NM_133467)	29	NM_133467	163732	Hs.355820	NM_133467	ENSG00000179862	CITED4	-	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3515	chr6	34261224	34261273	+	38	NA	exon (NM_001202470, exon 8 of 9)	exon (NM_001202470, exon 8 of 9)	-44363	NM_001287397	221491	Hs.381300	NM_178508	ENSG00000186577	C6orf1	LBH	chromosome 6 open reading frame 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3330	chr5	134263449	134263498	+	38	NA	intron (NM_032151, intron 2 of 3)	promoter-TSS (NR_039666)	-256	NR_039666	100616209		NR_039666	ENSG00000263963	MIR4461	mir-4461	microRNA 4461	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_719	chr11	22647319	22647368	+	38	NA	exon (NM_022725, exon 1 of 1)	promoter-TSS (NM_022725)	44	NM_022725	2188	Hs.632151	NM_022725		FANCF	FAF	Fanconi anemia complementation group F	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1625	chr16	14968997	14969046	+	38	NA	exon (NM_014287, exon 19 of 31)	exon (NM_014287, exon 19 of 31)	-26344	NR_036140	100422960		NR_036140	ENSG00000274301	MIR3179-1	-	microRNA 3179-1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_147	chr1	53192139	53192188	+	38	NA	5' UTR (NM_024646, exon 1 of 14)	promoter-TSS (NM_024646)	32	NM_024646	79699	Hs.476280	NM_024646	ENSG00000162378	ZYG11B	ZYG11	zyg-11 family member B, cell cycle regulator	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_404	chr1	215740651	215740700	+	38	NA	Intergenic	promoter-TSS (NM_016121)	-60	NM_016121	51133	Hs.335139	NM_016121	ENSG00000136636	KCTD3	NY-REN-45	potassium channel tetramerization domain containing 3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_198	chr1	100731772	100731821	+	38	NA	5' UTR (NM_001130841, exon 1 of 12)	promoter-TSS (NM_001130841)	-66	NR_110435	100506007	Hs.192268	NR_110434		RTCA-AS1	-	RTCA antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2020	chr17	73030034	73030083	+	38	NA	intron (NR_110835, intron 1 of 7)	tRNA-Arg-AGG|tRNA|tRNA	1396	NR_110835	23510	Hs.514468	NM_015353	ENSG00000180901	KCTD2	-	potassium channel tetramerization domain containing 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2976	chr22	40447342	40447391	+	38	NA	intron (NM_001024843, intron 1 of 23)	intron (NM_001024843, intron 1 of 23)	6545	NM_001024843	23112	Hs.372082	NM_015088	ENSG00000100354	TNRC6B	-	trinucleotide repeat containing 6B	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2595	chr2	148936333	148936382	+	38	NA	5' UTR (NM_018328, exon 3 of 15)	5' UTR (NM_018328, exon 3 of 15)	-157184	NM_181742	5000	Hs.558364	NM_002552	ENSG00000115947	ORC4	ORC4L|ORC4P	origin recognition complex subunit 4	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1703	chr16	57490498	57490547	+	38	NA	exon (NM_020312, exon 4 of 9)	exon (NM_020312, exon 4 of 9)	-6029	NM_032940	5432	Hs.79402	NM_002694	ENSG00000102978	POLR2C	RPB3|RPB31|hRPB33|hsRPB3	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1448	chr14	104446690	104446739	+	38	NA	intron (NM_153046, intron 7 of 35)	LTR13|LTR|ERVK	-38069	NM_001257268	647286	Hs.632325	NM_001257268	ENSG00000227729	RD3L	TDRD9-AS1|TDRD9AS1	retinal degeneration 3-like	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2766	chr3	15643010	15643073	+	38	NA	5' UTR (NM_001281723, exon 1 of 4)	promoter-TSS (NM_000060)	182	NM_001281723	686	Hs.517830	NM_000060	ENSG00000169814	BTD	-	biotinidase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3568	chr6	74363650	74363699	+	38	NA	5' UTR (NM_012434, exon 1 of 11)	promoter-TSS (NM_012434)	63	NM_012434	26503	Hs.597422	NM_012434	ENSG00000119899	SLC17A5	AST|ISSD|NSD|SD|SIALIN|SIASD|SLD	solute carrier family 17 (acidic sugar transporter), member 5	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_290	chr1	156186493	156186542	+	38	NA	intron (NM_001199664, intron 1 of 4)	CpG	3738	NM_001199653	11243	Hs.530479	NM_007221	ENSG00000160783	PMF1	-	polyamine-modulated factor 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4668	chrX	100075400	100075449	+	38	NA	exon (NM_001306209, exon 1 of 14)	promoter-TSS (NM_001306209)	72	NM_001306209	1478	Hs.132370	NM_001325	ENSG00000101811	CSTF2	CstF-64	cleavage stimulation factor, 3' pre-RNA, subunit 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2147	chr19	2785533	2785587	+	38	NA	5' UTR (NM_003249, exon 1 of 13)	promoter-TSS (NM_003249)	54	NM_003249	7064	Hs.78769	NM_003249		THOP1	EP24.15|MEPD_HUMAN|MP78|TOP	thimet oligopeptidase 1	protein-coding
